subjectID,IndexImprovement,indexStart,age
6096,21.26699,61.39169,12.54907
9688,29.08024,86.93686,15.80995
10928,27.81935,80.72225,11.97695
20450,17.64181,77.17588,9.797008
23601,23.57495,65.5235,13.0743
27033,16.84244,86.20506,10.44055
27035,22.60673,67.24603,9.772512
27054,21.5935,79.9792,10.02166
27294,19.47691,52.30622,8.682676
27615,17.41664,74.62023,11.207
28733,20.00606,73.73083,8.781446
28734,16.02059,84.11101,9.087916
28809,21.39085,90.04415,13.43874
28823,24.76838,82.70372,13.77004
29804,32.61537,86.16003,10.25727
30142,14.56828,60.00692,15.60123
30350,19.51068,81.16132,13.77563
31033,19.87096,72.61625,10.06826
31463,35.81272,81.09378,9.94763
31464,11.41596,79.6527,9.53418
32830,20.68152,79.39378,15.63419
32834,29.10279,81.81431,15.55205
33007,9.1643,65.41091,13.21421
33080,20.86171,91.11369,10.89516
33869,38.66108,72.70632,14.75823
34038,14.90603,65.69238,14.18046
34118,22.80937,75.04806,14.52582
34278,19.5895,101.0323,12.11057
34287,22.67428,60.86255,11.27819
34610,24.19415,92.34085,12.29422
34725,18.38486,70.60101,11.0019
35143,30.82531,80.30569,12.64704
35144,17.10138,93.59052,12.31031
35259,18.66632,77.05203,10.76895
35541,17.12393,71.99704,13.91824
36075,26.6034,88.4905,13.70401
36078,19.55572,77.16462,13.87102
36079,20.87292,81.22888,13.87116
36080,23.22589,78.89841,13.70401
36212,24.8584,73.10036,10.78833
36698,21.95373,83.85207,14.31568
37571,19.3193,75.43084,13.46354
37576,23.69881,79.97919,13.96731
38224,30.28495,90.58455,12.059
41827,13.76893,86.115,12.4807
41831,30.94918,72.65002,11.72771
41835,18.1709,101.2462,12.22873
41842,18.06966,94.42364,12.06173
42113,55.24462,68.25928,14.59644
42116,33.63985,77.53615,15.66212
42228,36.66839,59.7142,11.16882
42388,19.92725,64.91555,8.915877
42474,23.20338,82.56862,14.43217
42476,26.51342,89.81898,14.26516
42477,39.38166,85.31564,14.18302
42985,42.60157,77.24343,11.37136
43164,46.73338,61.89832,9.840806
43355,25.30874,71.77187,9.132287
43993,25.03852,90.95608,14.33145
44451,10.06495,85.77724,12.0201
44547,22.55042,85.30438,12.18737
44548,19.61201,78.69576,12.43925
44688,28.11207,63.73342,12.11092
45095,33.40348,67.97782,10.63477
45132,41.07045,87.61235,15.56901
45144,25.95049,94.37861,14.3555
45145,22.06636,81.85934,14.10362
45146,34.56311,86.25009,13.98912
45147,26.53585,81.88185,14.57503
45148,29.98093,72.36857,14.18898
45222,19.04914,83.42426,14.93892
45541,20.78285,89.01965,11.77919
45695,12.5643,74.93546,10.52797
45786,14.77093,59.52281,7.940703
45793,21.33454,71.91824,8.770273
45794,20.68155,70.7924,8.526593
45798,16.91002,80.42953,8.022834
46725,15.7279,101.7078,12.54621
46782,22.05507,63.35065,17.04686
47098,7.09274,68.90101,13.23596
47800,39.2353,69.5765,9.701355
48021,51.69821,83.39049,17.93491
48031,19.34181,74.13613,9.54805
48187,36.43194,89.31236,12.86354
48195,7.67822,92.98258,12.69653
48197,21.89741,91.71039,12.69661
48209,22.55042,81.84808,12.44465
48398,10.90933,73.8997,10.39928
48524,24.20545,89.63885,15.13097
48741,40.68764,93.23026,14.71443
48772,61,44.07638,12.54847
48853,28.5061,61.58308,13.71504
48895,21.91997,62.22481,10.54764
48902,51.83339,84.92161,14.80735
48904,36.91603,84.39247,14.89223
49145,-1.351,108.2264,13.56713
49214,29.53057,73.80963,13.81629
49243,17.3153,103.9032,13.39739
49377,15.23253,83.41299,11.97914
49842,16.865,64.26256,10.67614
50157,30.37499,45.03334,10.34457
50529,24.29549,74.29374,8.114149
50761,48.86118,77.84012,12.379
51091,26.73854,60.14202,17.68255
51093,27.62795,55.9314,19.19058
51210,18.71134,60.84004,10.51155
51288,25.21868,78.24542,13.58083
51294,36.35315,39.33662,12.41196
51375,33.38091,91.71039,12.41709
51386,34.41677,95.56073,12.25016
51398,26.96368,95.18922,13.07965
51434,23.21468,58.01419,7.346842
51435,18.90274,63.15925,7.784901
51848,29.94717,62.54004,9.282289
51879,19.51065,85.85605,10.01659
52015,31.16305,70.24075,11.52231
52071,23.57496,76.32024,10.94958
52126,7.91461,47.27374,7.618005
52571,18.14843,52.8241,9.569694
52731,44.36904,64.18376,10.45731
52853,18.29479,61.29037,10.55011
53149,26.08555,92.34085,13.65736
53150,32.58166,89.83024,13.32334
53151,19.20672,86.49778,13.65736
53153,39.4379,111.1085,13.99138
53155,16.07686,96.79914,12.40617
53419,19.15045,86.39645,14.00793
53421,21.39084,86.61036,13.84092
53556,18.50871,69.34007,10.16131
53585,32.26639,98.97201,10.68129
53757,24.82458,77.02952,11.90513
53781,23.07958,52.1486,8.696431
53782,15.19875,57.42876,9.274058
53837,20.72658,77.38979,15.10692
54418,1.38478,86.27261,11.73538
54562,25.97298,68.69835,10.2325
54574,19.36433,68.33809,13.64905
54602,19.35307,82.51233,10.39966
54629,12.45172,83.52557,9.484928
54686,21.3458,62.83276,10.57225
54703,31.79355,74.77785,11.07328
54879,29.35048,64.75793,9.003213
59018,16.40338,80.85735,10.7443
59063,28.38226,57.4175,11.97639
59071,24.88092,66.48045,10.8109
59119,21.4021,55.24464,13.06344
59127,41.37436,80.77854,14.2751540041
59130,42.83797,74.81163,12.6707734428
59133,28.25838,86.29512,12.8350444901
59197,10.50402,80.1143,9.534112
59202,33.40344,84.39246,14.90906
59204,42.6128,105.9972,14.82419
59211,37.15248,96.34882,15.41231
59212,32.48027,98.26273,15.65923
59292,4.17685,82.26464,12.90995
59293,13.56634,99.98526,14.49564
59299,16.09941,76.81561,11.49455
59396,25.22992,70.66856,11.09468
59397,26.78357,71.7381,10.67579
59449,51.28174,80.60966,14.0670773443
59451,25.66902,87.25208,13.6646132786
59487,15.64907,78.07655,11.6249144422
59490,17.73188,80.94742,11.9589322382
59499,25.80415,85.79975,14.92805
59503,42.39885,90.98985,15.2651
59506,25.38751,88.60309,15.34694
59507,25.4326,92.4084,15.67822
59510,42.26381,97.32829,14.92804
59701,18.63254,58.093,9.09901
59707,21.52594,57.04597,7.891469
59821,29.04646,73.40434,11.9726214921
59837,61,90.94482,12.3706
59985,17.22525,63.15925,14.02973
60077,19.42058,81.62292,14.6949
60568,13.50999,84.60638,15.04864
60871,24.93721,72.33479,12.0711841205
61186,21.86369,64.70164,12.48847
61254,22.79813,48.86116,13.98654
61342,21.44712,71.88446,12.0876112252
61344,19.30808,93.72562,12.733744011
61345,9.73845,83.87459,12.1149897331
61349,25.66901,78.47059,12.3066392882
61858,19.87098,95.86472,12.3367556468
61926,22.47163,72.18843,12.34589
62284,61,46.27176,7.861403
62662,22.95575,62.9566,9.102074
62663,60.60362,42.99558,8.102754
62669,45.77642,91.36138,15.14452
62677,45.29232,95.89848,15.06239
62682,37.82797,97.77863,14.89538
62977,16.89876,77.71628,11.65328
63139,12.8571,100.368,11.52212
63141,16.4034,82.24212,11.93827
63283,43.60357,89.53753,11.1857
63285,17.87824,78.34674,11.85374
63440,17.21397,94.40113,14.1012
63441,28.2697,100.9985,14.1012
63442,46.01281,90.30309,14.60223
63468,37.06244,92.28456,14.60223
63470,12.4404,105.9297,14.10974
63929,30.31872,73.93348,11.68614
63940,36.37567,70.16193,11.85861
64162,6.64241,86.20506,12.606
64202,31.91733,75.88117,14.68724
64206,21.55971,76.50037,13.35393
64545,15.09743,81.34146,12.19321
65083,16.65108,71.71558,11.72757
67095,61,90.85475,12.10799
67096,24.18286,78.75204,12.60902
67099,18.2385,102.1131,12.60902
67101,50.2122,82.4673,12.77602
67614,0.60795,74.11361,15.12511
67615,25.54516,97.20444,14.79382
67619,14.55706,92.31834,14.8787
68591,13.49873,90.87727,14.31218
70553,22.9107,73.34805,11.46178
71510,21.55972,71.20895,11.41523
73054,12.38418,96.07862,13.56732
73063,19.75839,72.6275,13.73706
73066,21.70608,87.16202,13.90407
73068,16.96634,98.57796,14.07108
73527,21.84119,99.24221,14.11185
73532,16.07693,86.01367,14.02698
73535,14.68083,90.47197,13.60809
